"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"Minimum_Operating_Pressure";"0.15 Mpa";"";
"Maximum_Operating_Pressure";"0.7 Mpa2";"";
"Piston_Action";"Single-Acting Spring Return";"";
"SUPPLIER_NAME";"Motion Industries";"";
"SUPPLIER";"SMC";"";
"REFERENCE";"CJPB10-10";"";
"Cushion_Type";"None";"";
"TraceParts.InstanceId";"90-09092020-03053878P2ST6ENTHNY6M228NL8S6AD";"";
"Motion_Internal_Description";"CJPB10-10";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"Pin Air Cylinder CJPB10-10";"";
"DESIGN";"Pin Air Cylinder, 10 mm  Bore, 10 mm Stroke, Panel Mounting, Single Rod, 5 mm Rod / M4x0.7 ISO Thread, Single-Acting Spring Return";"";
"Port_Size";"M5x0.8";"";
"Proof_Pressure_Mpa";"1";"";
"Body_Material";"Brass";"";
"Rod_Size_Thread";"5 mm Rod / M4x0.7 ISO Thread";"";
"Push_Force_at_100_psi";"49 N";"";
"TraceParts.PartVersion";"1.0.1";"";
"TraceParts.PartNumber";"90-09092020-030538";"";
"Overall_Length";"39 mm";"";
"Part_Number_EShop_URL";"https://www.motionindustries.com/products/sku/04531415";"";
"Pull_Force_at_100_psi";"2.45 N";"";
"Mounting_Type";"Panel";"";
"Port_Gender";"Female";"";
"Rod_Type";"Single Rod";"";
"Rod_Size";"5 mm";"";
"Weight";"0.08 lbs";"";
"Cylinder_Series";"CJP";"";
"TRACEPARTS";"TRACEPARTS";"";
"Auto_Switch";"Sold Separately";"";
"Overall_Height";"22 mm";"";
"Port_Thread_Standard";"ISO";"";
"Rod_Gender";"Male";"";
"Overall_Width";"19 mm";"";
"Operating_Temperature_Range";"-10 to +70 °C °F";"";
"TraceParts.ClassPath";"MOTION_1402216426:90-09092020-030538";"";
"Bore_Diameter";"10 mm";"";
"TraceParts.PartLanguage";"en";"";
"SUPPLIER_PART_NUMBER";"04531415";"";
"Rod_Thread_Standard";"ISO";"";
"Stroke_Length";"10 mm";"";
